Rep	Treatment	Head_#	#_Dmg_Seed
1	AgriMek	1	0
1	AgriMek	2	0
1	AgriMek	3	0
1	AgriMek	4	0
1	AgriMek	5	1
1	AgriMek	6	0
1	AgriMek	7	0
1	AgriMek	8	0
1	AgriMek	9	0
1	AgriMek	10	0
1	AgriMek	11	1
1	AgriMek	12	0
1	AgriMek	13	0
1	AgriMek	14	0
1	AgriMek	15	0
1	AgriMek	16	1
1	AgriMek	17	2
1	AgriMek	18	0
1	AgriMek	19	1
1	AgriMek	20	0
1	AgriMek	21	0
1	AgriMek	22	0
1	AgriMek	23	0
1	AgriMek	24	0
1	AgriMek	25	0
2	AgriMek	1	0
2	AgriMek	2	0
2	AgriMek	3	0
2	AgriMek	4	0
2	AgriMek	5	0
2	AgriMek	6	0
2	AgriMek	7	0
2	AgriMek	8	0
2	AgriMek	9	0
2	AgriMek	10	0
2	AgriMek	11	0
2	AgriMek	12	0
2	AgriMek	13	0
2	AgriMek	14	0
2	AgriMek	15	0
2	AgriMek	16	0
2	AgriMek	17	0
2	AgriMek	18	0
2	AgriMek	19	0
2	AgriMek	20	0
2	AgriMek	21	0
2	AgriMek	22	0
2	AgriMek	23	0
2	AgriMek	24	0
2	AgriMek	25	0
3	AgriMek	1	0
3	AgriMek	2	0
3	AgriMek	3	0
3	AgriMek	4	0
3	AgriMek	5	1
3	AgriMek	6	1
3	AgriMek	7	0
3	AgriMek	8	0
3	AgriMek	9	2
3	AgriMek	10	1
3	AgriMek	11	0
3	AgriMek	12	0
3	AgriMek	13	1
3	AgriMek	14	0
3	AgriMek	15	0
3	AgriMek	16	1
3	AgriMek	17	0
3	AgriMek	18	0
3	AgriMek	19	2
3	AgriMek	20	0
3	AgriMek	21	1
3	AgriMek	22	0
3	AgriMek	23	0
3	AgriMek	24	0
3	AgriMek	25	2
4	AgriMek	1	0
4	AgriMek	2	0
4	AgriMek	3	0
4	AgriMek	4	1
4	AgriMek	5	0
4	AgriMek	6	0
4	AgriMek	7	0
4	AgriMek	8	1
4	AgriMek	9	0
4	AgriMek	10	0
4	AgriMek	11	0
4	AgriMek	12	1
4	AgriMek	13	0
4	AgriMek	14	0
4	AgriMek	15	1
4	AgriMek	16	0
4	AgriMek	17	0
4	AgriMek	18	0
4	AgriMek	19	0
4	AgriMek	20	0
4	AgriMek	21	0
4	AgriMek	22	0
4	AgriMek	23	0
4	AgriMek	24	0
4	AgriMek	25	1
